X99.7,Not known
D20.1,Biopsy of lesion of middle ear
D20.2,Maintenance of ventilation tube through tympanic membrane
D20.3,Removal of ventilation tube from tympanic membrane
D20.4,Placement of hearing implant in middle ear
D20.6,Removal of hearing implant in middle ear
D20.7,Transtympanic injection to middle ear
D20.8,Other specified other operations on middle ear
D20.9,Unspecified other operations on middle ear
D22.2,Intubation of eustachian canal
D22.3,Insufflation of eustachian canal
D22.8,Other specified operations on eustachian canal
D22.9,Unspecified operations on eustachian canal
D23.1,Transtympanic injection to inner ear
D23.8,Other specified operations on inner ear
D24.1,Implantation of intracochlear prosthesis
D24.2,Implantation of extracochlear prosthesis
D24.3,Attention to cochlear prosthesis
D24.5,Transtympanic electrocochleography
D24.8,Other specified operations on cochlea
D24.9,Unspecified operations on cochlea
D26.2,Membranous labyrinthectomy
D26.3,Osseous labyrinthectomy
D26.4,Neurectomy of vestibular apparatus
D26.8,Other specified operations on vestibular apparatus
D28.1,Biopsy of lesion of ear NEC
D28.2,Examination of ear under anaesthetic
D28.8,Other specified other operations on ear
D28.9,Unspecified other operations on ear
E01.1,Total excision of nose
E02.1,Total reconstruction of nose
E02.2,Reconstruction of nose NEC
E02.4,Septorhinoplasty using graft
E02.5,Reduction rhinoplasty
E02.6,Rhinoplasty NEC
E02.7,Alar reconstruction with cartilage graft
E02.8,Other specified plastic operations on nose
E03.1,Submucous excision of septum of nose
E03.2,Excision of lesion of septum of nose
E03.3,Biopsy of lesion of septum of nose
E03.4,Closure of perforation of septum of nose NEC
E03.5,Incision of septum of nose
E03.6,Septoplasty of nose NEC
E03.8,Other specified operations on septum of nose
E03.9,Unspecified operations on septum of nose
E04.1,Submucous diathermy to turbinate of nose
E04.2,Excision of turbinate of nose NEC
E04.3,Excision of lesion of turbinate of nose NEC
E04.4,Division of adhesions of turbinate of nose
E04.5,Biopsy of lesion of turbinate of nose
E04.6,Cauterisation of turbinate of nose
E04.8,Other specified operations on turbinate of nose
E05.1,Cauterisation of internal nose
E05.2,Ligation of artery of internal nose
E05.3,Embolisation of artery of internal nose
E05.4,Laser therapy of internal nose
E05.8,Other specified surgical arrest of bleeding from internal nose
E05.9,Unspecified surgical arrest of bleeding from internal nose
E06.1,Packing of posterior cavity of nose NEC
E06.2,Packing of anterior cavity of nose NEC
E06.3,Removal of packing from cavity of nose
E06.4,Balloon packing of cavity of nose
E06.8,Other specified packing of cavity of nose
E06.9,Unspecified packing of cavity of nose
E07.1,Correction of stenosis of nasal pyriform aperture
E07.2,Septodermaplasty
E07.3,Septorhinoplasty NEC
E07.8,Other specified other plastic operations on nose
E07.9,Unspecified other plastic operations on nose
E08.1,Polypectomy of internal nose
E08.2,Extirpation of lesion of internal nose NEC
E08.3,Correction of congenital atresia of choana
E08.4,Division of adhesions of internal nose
E08.5,Removal of foreign body from cavity of nose
E08.6,Surgical closure of anterior nares
E08.7,Surgical reopening of anterior nares
E08.8,Other specified other operations on internal nose
E08.9,Unspecified other operations on internal nose
E09.1,Excision of lesion of external nose
E09.2,Destruction of lesion of external nose NEC
E09.3,Suture of external nose
E09.4,Shave of skin of nose
E09.5,Biopsy of lesion of external nose
E09.6,Laser destruction of lesion of external nose
E09.8,Other specified operations on external nose
E09.9,Unspecified operations on external nose
E10.1,Biopsy of lesion of nose NEC
E10.8,Other specified other operations on nose
E10.9,Unspecified other operations on nose
E11.1,One stage attachment of fixtures for nasal prosthesis NEC
E11.2,First stage attachment of fixtures for nasal prosthesis
E11.3,Second stage attachment of fixtures for nasal prosthesis
E11.4,Revision of fixtures for attachment of nasal prosthesis
E11.5,Removal of fixtures for attachment of nasal prosthesis
E11.6,Attachment of nasal prosthesis
E11.8,Other specified operations on fixtures for nasal prosthesis
E11.9,Unspecified operations on fixtures for nasal prosthesis
E12.2,Drainage of maxillary antrum using sublabial approach
E12.3,Irrigation of maxillary antrum using sublabial approach
E13.1,Drainage of maxillary antrum NEC
E13.3,Intranasal antrostomy
E13.4,Biopsy of lesion of maxillary antrum
E13.5,Closure of fistula between maxillary antrum and mouth
E13.6,Puncture of maxillary antrum
E13.8,Other specified other operations on maxillary antrum
E13.9,Unspecified other operations on maxillary antrum
E14.2,Intranasal ethmoidectomy
E14.3,External ethmoidectomy
E14.6,Trephine of frontal sinus
E14.8,Other specified operations on frontal sinus
E14.9,Unspecified operations on frontal sinus
E15.1,Drainage of sphenoid sinus
E15.2,Puncture of sphenoid sinus
E16.8,Other specified other operations on frontal sinus
E16.9,Unspecified other operations on frontal sinus
E17.1,Excision of nasal sinus NEC
E17.2,Excision of lesion of nasal sinus NEC
E17.3,Biopsy of lesion of nasal sinus NEC
E17.8,Other specified operations on unspecified nasal sinus
E17.9,Unspecified operations on unspecified nasal sinus
E19.1,Total pharyngectomy
E19.2,Partial pharyngectomy
E19.8,Other specified excision of pharynx
E19.9,Unspecified excision of pharynx
E20.1,Total adenoidectomy
E20.3,Surgical arrest of postoperative bleeding of adenoid
E20.4,Suction diathermy adenoidectomy
E20.8,Other specified operations on adenoid
E21.3,Pharyngoplasty using lateral pharyngeal flap
E23.1,Open excision of lesion of pharynx
E23.2,Operations on pharyngeal pouch
E23.8,Other specified other open operations on pharynx
E24.1,Endoscopic extirpation of lesion of nasopharynx
E24.2,Endoscopic extirpation of lesion of pharynx NEC
E24.8,Other specified therapeutic endoscopic operations on pharynx
E24.9,Unspecified therapeutic endoscopic operations on pharynx
E25.1,Diagnostic endoscopic examination of nasopharynx and biopsy of lesion of nasopharynx
E25.2,Diagnostic endoscopic examination of pharynx and biopsy of lesion of pharynx NEC
E25.3,Diagnostic endoscopic examination of nasopharynx NEC
E25.8,Other specified diagnostic endoscopic examination of pharynx
E25.9,Unspecified diagnostic endoscopic examination of pharynx
E27.1,Open biopsy of lesion of pharynx
E27.2,Drainage of retropharyngeal abscess
E27.3,Incision of pharynx NEC
E27.4,Removal of foreign body from pharynx
E27.6,Examination of pharynx under anaesthetic
E27.8,Other specified other operations on pharynx
E27.9,Unspecified other operations on pharynx
E28.1,Cricopharyngeal myotomy
E28.8,Other specified operations on cricopharyngeus muscle
E28.9,Unspecified operations on cricopharyngeus muscle
E29.3,Partial vertical laryngectomy
E29.4,Partial laryngectomy NEC
E29.6,Laryngectomy NEC
E29.8,Other specified excision of larynx
E29.9,Unspecified excision of larynx
E30.8,Other specified open extirpation of lesion of larynx
E30.9,Unspecified open extirpation of lesion of larynx
E31.2,Laryngotracheoplasty NEC
E31.4,Implantation of artificial voice box into larynx
E31.5,Attention to artificial voice box in larynx
E31.8,Other specified reconstruction of larynx
E31.9,Unspecified reconstruction of larynx
E33.1,External arytenoidectomy
E33.2,Chordopexy of vocal chord
E33.6,Vocal cord medialisation using biological material
E33.8,Other specified other open operations on larynx
E33.9,Unspecified other open operations on larynx
E34.3,Microtherapeutic endoscopic destruction of lesion of larynx NEC
E34.8,Other specified microtherapeutic endoscopic operations on larynx
E34.9,Unspecified microtherapeutic endoscopic operations on larynx
E35.1,Endoscopic arytenoidectomy
E35.2,Endoscopic resection of lesion of larynx
E35.3,Endoscopic destruction of lesion of larynx
E35.5,Endoscopic removal of foreign body from larynx
E35.6,Endoscopic partial laryngectomy
E35.7,Endoscopic vocal cord medialisation
E35.8,Other specified other therapeutic endoscopic operations on larynx
E35.9,Unspecified other therapeutic endoscopic operations on larynx
E36.1,Diagnostic endoscopic examination of larynx and biopsy of lesion of larynx
E36.8,Other specified diagnostic endoscopic examination of larynx
E36.9,Unspecified diagnostic endoscopic examination of larynx
E37.1,Diagnostic microendoscopic examination of larynx and biopsy of lesion of larynx
E37.8,Other specified
E37.9,Unspecified
E38.1,Injection into larynx
E38.8,Other specified other operations on larynx
E38.9,Unspecified other operations on larynx
E39.1,Open excision of lesion of trachea
E39.9,Unspecified partial excision of trachea
E40.1,Reconstruction of trachea and anastomosis HFQ
E40.8,Other specified plastic operations on trachea
E41.1,Open insertion of tubal prosthesis in trachea
E41.2,Open renewal of tubal prosthesis in trachea
E41.3,Open removal of tubal prosthesis from trachea
E41.4,Tracheo-oesophageal puncture with insertion of speech prosthesis
E41.8,Other specified open placement of prosthesis in trachea
E41.9,Unspecified open placement of prosthesis in trachea
E42.1,Permanent tracheostomy
E42.2,Cricothyroidostomy
E42.3,Temporary tracheostomy
E42.4,Revision of tracheostomy
E42.5,Closure of tracheostomy
E42.6,Replacement of tracheostomy tube
E42.7,Removal of tracheostomy tube
E42.8,Other specified exteriorisation of trachea
E42.9,Unspecified exteriorisation of trachea
E43.1,Open destruction of lesion of trachea
E43.2,Tracheorrhaphy
E43.3,Tracheopexy
E43.4,Open biopsy of lesion of trachea
E43.8,Other specified other open operations on trachea
E43.9,Unspecified other open operations on trachea
E44.9,Unspecified open operations on carina
E46.2,Excision of cyst of bronchus
E46.9,Unspecified partial extirpation of bronchus
E47.1,Open biopsy of lesion of bronchus NEC
E47.2,Closure of fistula of bronchus
E47.3,Repair of bronchus NEC
E48.1,Fibreoptic endoscopic snare resection of lesion of lower respiratory tract
E48.3,Fibreoptic endoscopic destruction of lesion of lower respiratory tract NEC
E48.4,Fibreoptic endoscopic aspiration of lower respiratory tract
E48.6,Fibreoptic endoscopic irrigation of lower respiratory tract
E48.8,Other specified therapeutic fibreoptic endoscopic operations on lower respiratory tract
E49.1,Diagnostic fibreoptic endoscopic examination of lower respiratory tract and biopsy of lesion of lower respiratory tract
E49.2,Diagnostic fibreoptic endoscopic examination of lower respiratory tract and lavage of lesion of lower respiratory tract
E49.3,Diagnostic fibreoptic endoscopic examination of lower respiratory tract and brush cytology of lesion of lower respiratory tract
E49.4,Diagnostic fibreoptic endoscopic examination of lower respiratory tract with lavage and brush cytology of lesion of lower respiratory tract
E49.5,"Diagnostic fibreoptic endoscopic examination of lower respiratory tract with biopsy, lavage and brush cytology of lesion of lower respiratory tract"
E49.8,Other specified diagnostic fibreoptic endoscopic examination of lower respiratory tract
E49.9,Unspecified diagnostic fibreoptic endoscopic examination of lower respiratory tract
E50.1,Endoscopic snare resection of lesion of lower respiratory tract using rigid bronchoscope
E50.9,Unspecified therapeutic endoscopic operations on lower respiratory tract using rigid bronchoscope
E51.1,Diagnostic endoscopic examination of lower respiratory tract and biopsy of lesion of lower respiratory tract using rigid bronchoscope
E51.9,Unspecified diagnostic endoscopic examination of lower respiratory tract using rigid bronchoscope
E52.2,Aspiration of bronchus NEC
E53.1,Double lung transplant
E53.2,Single lung transplant
E54.2,Bilobectomy of lung
E54.3,Lobectomy of lung
E54.6,Reduction of lung volume
E55.2,Open excision of lesion of lung
E57.2,Ligation of bulla of lung
E57.3,Deflation of bulla of lung
E57.4,Incision of lung NEC
E59.1,Needle biopsy of lesion of lung
E59.2,Aspiration biopsy of lesion of lung
E59.3,Biopsy of lesion of lung NEC
E59.4,Drainage of lung
E59.5,Percutaneous radiofrequency ablation of lesion of lung
E59.8,Other specified other operations on lung
E61.1,Open excision of lesion of mediastinum
E61.3,Open drainage of mediastinum
E61.4,Mediastinotomy NEC
E61.8,Other specified open operations on mediastinum
E62.1,Endoscopic extirpation of lesion of mediastinum
E63.1,Diagnostic endoscopic examination of mediastinum and biopsy of lesion of mediastinum
E63.2,Endobronchial ultrasound examination of mediastinum
E63.8,Other specified diagnostic endoscopic examination of mediastinum
E63.9,Unspecified diagnostic endoscopic examination of mediastinum
E85.2,Non-invasive ventilation NEC
E85.3,Improving efficiency of ventilation
E85.4,Bag valve mask ventilation
E85.5,Nebuliser ventilation
E85.8,Other specified ventilation support
E85.9,Unspecified ventilation support
E87.1,Home oxygen support
E87.2,Long term oxygen assessment
E87.3,Ambulatory oxygen assessment
E87.4,Diagnostic assessment of circulatory oxygenation using reduced oxygen air
E87.8,Other specified oxygen therapy support
E87.9,Unspecified oxygen therapy support
E89.1,Clearance of secretions of respiratory tract
E89.2,Expectoration of induced sputum from respiratory tract
E89.3,Nebuliser therapy
E89.4,Control of respiration
E89.8,Other specified other respiratory support
E89.9,Unspecified other respiratory support
E91.1,Oximetry assessment
E91.2,Continuous pulse oximetry
E91.3,Overnight oximetry
E91.8,Other specified oximetry testing
E91.9,Unspecified oximetry testing
E92.1,Carbon monoxide transfer factor test
E92.2,Distribution of ventilation test
E92.3,Measurement of alveolar carbon monoxide
